Headlines
Meta’s AI smart glasses and data privacy concerns (svd.se)
British Columbia is permanently adopting daylight time (cbc.ca)
Ars Technica fires reporter after AI controversy involving fabricated quotes (futurism.com)
Daily Driving GrapheneOS (matthewbrunelle.com)
Simple screw counter (mitxela.com)
Buckle Up for Bumpier Skies (newyorker.com)
Intent-Based Commits (github.com/adamveld12)
Show HN: I built a sub-500ms latency voice agent from scratch (ntik.me)
Moldova broke our data pipeline (avraam.dev)
Physicists developing a quantum computer that’s entirely open source (aps.org)
Guilty Displeasures (hopefulmons.com)
First in-utero stem cell therapy for fetal spina bifida repair is safe: study (ucdavis.edu)
The Excommunicated Devs Making Games with AI (tyleo.com)
"New iPad Air, powered by M4 (apple.com)"
Seed of Might Color Correction Process (2023) [pdf] (andrewvanner.github.io)
Launch HN: OctaPulse (YC W26) – Robotics and computer vision for fish farming
Elevated Errors in Claude.ai (claude.com)
Guido van Rossum Interviews Thomas Wouters (Python Core Dev) (gvanrossum.github.io)
Motorola announces a partnership with GrapheneOS (motorolanews.com)
I built an RGB controller with Arduino (svana.name)
Show HN: Govbase – Follow a bill from source text to news bias to social posts (govbase.com)
iPhone 17e (apple.com)
The Cathode Ray Tube site (crtsite.com)
Against Query Based Compilers (matklad.github.io)
DOS Memory Management (os2museum.com)
"Inside the M4 Apple Neural Engine, Part 1: Reverse Engineering (maderix.substack.com)"
RCade: Building a Community Arcade Cabinet (frankchiarulli.com)
The 185-Microsecond Type Hint (sturdystatistics.com)
Ask HN: Who is hiring? (March 2026)
Programmable Cryptography (2024) (0xparc.org)
